meen_colour,meens_down,meens_up,time
0.42219231,0.07198903,0.93749295,1
0.71083753,0.74221532,0.73672752,0
0.09660769,0.42255194,0,0
0.71079011,0.64943819,0.83159969,0
0.44666136,0.30942764,0.71686742,1
0.27721138,0.27812981,0.46313305,0
0.2904295,0.32013958,0.44331103,1
0.16893456,0.38134002,0.17901208,0
0.36163087,0.38130021,0.50532573,0
0.83134924,0.90726362,0.78944749,0
0.15726251,0.13406774,0.39005614,1
0.43475696,0.79385796,0.2961754,1
0.83106727,0.92768838,0.76810489,0
0.75907052,0.79378037,0.78940653,0
0.81930275,0.95890956,0.71558958,0
0.48213928,0.41199189,0.68466487,1
0.87925283,0.86581047,0.92593615,0
0.09684206,0,0.42126791,0
0.55521758,0.40264383,0.85351913,1
0.67507361,0.51475944,0.91693441,1
0.53070111,0.4743145,0.7058825,1
0.78311643,0.8143658,0.81046175,0
0,0.08173806,0.18957905,0
0.54232812,0.64943819,0.53699096,0
0.10884313,0.23687761,0.2214099,0
0.42252134,0.17519705,0.82218496,1
0.32549161,0.22676649,0.59995068,0
0.01199869,0.1334235,0.14730349,0
0.30121005,0.15441412,0.63132774,0
